"name","item","item 2","item 3","review-truncated-words","review-words","time"
"牙大酥","设施：5.0","环境：5.0","服务：5.0","特别赞的一家商场，在王府井这个商场云集和大牌云集的地方，apm商场算是人气特别高的了。
交通：地铁...","特别赞的一家商场，在王府井这个商场云集和大牌云集的地方，apm商场算是人气特别高的了。
交通：地铁8号线金鱼胡同地铁口，交通便利。
环境：整个商场特别收拾的很干净而且吃喝完了种类特别的全，这次来正好看到有画展，很有意思还在画展逛了一圈的，很不错，就逛逛别的地方，这里正的是可以让你带一天的好地方。","2023-04-17 23:12"
"磕磕绊绊","设施：5.0","环境：5.0","服务：5.0","LINLEE在王府井apm也开新店了，超级喜欢他们家的口味，和朋友逛街无意看到的，果断去买一杯比较推荐他家的...","LINLEE在王府井apm也开新店了，超级喜欢他们家的口味，和朋友逛街无意看到的，果断去买一杯比较推荐他家的泰绿手打柠檬茶和手打柠檬茶，如果喜欢喝酸一点的是特浓手打柠檬茶，个人推荐三分甜，感觉酸涩度刚刚的好，夏天了，喝柠檬茶解渴而且还补充维C，来一杯，元气满满，超赞而且还有小鸭子送，太可爱了。","2023-04-17 21:22"
"吃货阿浪","设施：5.0","环境：5.0","服务：5.0","北京apm 
东城区商场热门榜第一名☝️🥇
王府井大街138号
环境：商场环境干净整齐，布局分明，美食购物...","北京apm 
东城区商场热门榜第一名☝️🥇
王府井大街138号
环境：商场环境干净整齐，布局分明，美食购物🛍️丽人，汽车为一体，坐落于王府井大街，每一层都有每一层的特色。
其中就有必吃的小大董，还有捞王锅物料理，6楼全是美食，麻六记，局气。","2023-04-17 21:05"
"祁清和","设施：4.5","环境：4.5","服务：4.5","","一定要错过下午5点半以后，不然吃饭只能排队等半个小时，而且拿到号了一定别因为还有十几桌就走开…不然过号了再等的时候要好久","2023-04-17 10:19"
"樱桃子","设施：4.5","环境：4.5","服务：4.5","花·Young 的年华……
2023年3🈷️31日～～5月3日，北京apm首层中庭，迎来7位艺术家作品联展。
春意盎然的4?...","花·Young 的年华……
2023年3🈷️31日～～5月3日，北京apm首层中庭，迎来7位艺术家作品联展。
春意盎然的4🈷️，开启一场自由、多元、充🈵想象力的艺术之旅，寻觅春日的温暖与浪漫！
让我们就这样地走进春天吧……","2023-04-16 21:47"
"点小评8259534987","设施：0.5","环境：0.5","服务：0.5","","一个座位都没有 想坐下休息会的地方都没有 逛累了直接让顾客滚蛋呗？","2023-04-16 13:17"
"小翼","设施：4.0","环境：4.0","服务：4.0","","打卡北京apm中庭的花young春日艺术展
一些纸花，一些艺术家的画，还有一些假花。
别细看，拍个照打个卡还是挺好的。
面积不大，十分钟都用不了。","2023-04-15 19:15"
"小zhang爱看海","设施：5.0","环境：5.0","服务：5.0","","整体给人的感觉很繁华，位于王府井大街，里面基本上都是连锁品牌","2023-04-15 18:39"
"openze","设施：5.0","环境：5.0","服务：5.0","APM艺术展也太好看了吧！来逛街发现一层中庭有艺术展，颜色鲜艳的花卉主题，好多小朋友都抢着拍照📸，适合...","APM艺术展也太好看了吧！来逛街发现一层中庭有艺术展，颜色鲜艳的花卉主题，好多小朋友都抢着拍照📸，适合遛娃。
主题偏青春洋溢，环保材质制作的花朵，很逼真，给商场增添了不少色彩。
APM主要是很好逛，不会过度奢侈，适合年轻人！吃喝玩乐都可以在这里解决。美妆和运动品牌是我的最爱，六层美食也很不错！「北京apm」","2023-04-15 16:28"
"爱吃西瓜的妮妮爱吃","设施：4.0","环境：4.0","服务：4.0","周末出门吃饭路过商场，
被这个打造的春日小花园惊喜到～

👧然女孩：在不安的世界里，安静地活

无论世界...","周末出门吃饭路过商场，
被这个打造的春日小花园惊喜到～

👧然女孩：在不安的世界里，安静地活

无论世界如何不安，我们只须做到：不害怕。
不害怕差异、不害怕敌意、不害怕孤独、不害怕失去、不害怕变化、不害怕嘈杂。

因为不害怕，所以专注～","2023-04-15 15:33"
"WBean_Mr.D","设施：4.0","环境：4.0","服务：4.0","北京apm 
王府井大街旁的商场。
贴近地铁站，周围交通很方便。
店内很多品牌，属于综合体mall。
店内也有一...","北京apm 
王府井大街旁的商场。
贴近地铁站，周围交通很方便。
店内很多品牌，属于综合体mall。
店内也有一些美食，咖啡馆子。
也有很多服装店，等等。
走在王府井，就进去逛逛咯。
内饰设计也很洋气，符合我的审美。","2023-04-15 13:51"
"微风一吹震山河","设施：5.0","环境：4.5","服务：5.0","","客流量不是很大的宜家商场买东西还是挺方便的，不像合生汇商场是那么拥挤，那么吵杂总体购物感还是不错的，就是打折力度比较小。还看了看一层的泡泡玛特店也挺大的好多好玩的东西。苹果店人也比较少，还会再来玩的！","2023-04-15 10:46"
"走走停停","设施：5.0","环境：5.0","服务：5.0","经常来的一家商场，特别不错，交通很便利就在地铁口。商场地上有6层，地下有两层，这里算是在王府井...","经常来的一家商场，特别不错，交通很便利就在地铁口。商场地上有6层，地下有两层，这里算是在王府井逛街的首选商场了，东西齐全，吃的选择也多，整个商场偏年轻化一点，这里每个月都有主题活动，特别有意思，这个月是以春天为主题的画展，很多人在哪里围观拍照的特别的热闹。","2023-04-14 22:36"
"匿名用户","设施：5.0","环境：5.0","服务：5.0","位于北京长安街王府井步行街里面，很有名的地标建筑物，也是很高端的商场。

牌子挺多的，一层有个大苹果体...","位于北京长安街王府井步行街里面，很有名的地标建筑物，也是很高端的商场。

牌子挺多的，一层有个大苹果体验店，还有个阿迪达斯三层旗舰店。有奢侈品也有大众爱逛能买的起的亲民品牌。

商场附近有很多好吃的美食，马路对面就是王府井百货大楼和王府井美食街，推荐天好点去逛逛","2023-04-14 16:04"
"Kerrywong00","设施：5.0","环境：5.0","服务：5.0","前身是新东安市场，为和国际接轨改头换面变成了一个英文名。面积够大、品牌够多，大部分都是北京旅游的外地...","前身是新东安市场，为和国际接轨改头换面变成了一个英文名。面积够大、品牌够多，大部分都是北京旅游的外地游客光顾商场，各楼层层次分明，导航随处可见。但是商场的活动不多及优惠力度不大，不一定能吸引老百姓办会员常常光顾。","2023-04-14 12:35"
"匿名用户","设施：4.5","环境：4.5","服务：4.5","《贝克街的亡灵》打卡！影院很好找！座椅很舒服！音效也很棒！晚上六点多的场，人不多，影院小哥哥小姐姐的...","《贝克街的亡灵》打卡！影院很好找！座椅很舒服！音效也很棒！晚上六点多的场，人不多，影院小哥哥小姐姐的服务态度也很好观影效果很不错，屏幕很清晰，买的按摩座椅位置，还能免费充电，店的位置也很好找，值得推荐！","2023-04-14 09:42"
"秋风吹落叶","设施：5.0","环境：5.0","服务：5.0","特别喜欢的一个商场，在王府井云集这各种老板商场了，这家商场算是特别有活力的了。
环境不错，空间也很大...","特别喜欢的一个商场，在王府井云集这各种老板商场了，这家商场算是特别有活力的了。
环境不错，空间也很大，里边吃喝玩乐一体的，而且这里，如果在这里逛街什么的，吃饭一定是首选，很多大牌连锁和网红餐厅这里都有，一定可以满足你的未味了，而且这里人气很高，逛街嘛，主打的就是一个热情闹，不然没什么人群气逛这也没什么意思，推荐，推荐。","2023-04-13 22:22"
"G是一只熊","设施：5.0","环境：5.0","服务：5.0","商场地理位置得天独厚，在北京最核心地段，而且聚集了很多知名品牌，二楼最爱逛的UR也重新装修了，还有小CK...","商场地理位置得天独厚，在北京最核心地段，而且聚集了很多知名品牌，二楼最爱逛的UR也重新装修了，还有小CK等，一站式购物简直不要太方便，周边还有地铁，各种美食汇集，非常好逛，几乎每周都会和家人来这里购物，特别方便","2023-04-13 21:02"
"sky","设施：4.5","环境：4.5","服务：4.5","","apm的小哥哥小姐姐都好漂亮！","2023-04-13 16:59"
"Leeverpool","设施：5.0","环境：5.0","服务：5.0","","好吃好逛
是逛街的首选
有的吃有的逛有的玩有的看电影","2023-04-13 02:05"
"点小评2839170399","设施：0.5","环境：2.5","服务：3.5","","商场整体环境还行，就是有点闷，现在才4月份就很热，去吃个饭也热的不行","2023-04-12 22:36"
"baby","设施：5.0","环境：5.0","服务：5.0","王府井热门榜第一的商场，在众多王府井商场里可以是热门棒第一一定有独到到之处。
1.商场很大售卖的东西也...","王府井热门榜第一的商场，在众多王府井商场里可以是热门棒第一一定有独到到之处。
1.商场很大售卖的东西也不的全面，人门现在逛商场不只是买东西更多的是逛逛吃饭，这里有很多的网红餐厅品牌可以吸引人来这里。
2，这里交通便利一下地铁就到商场，这一点很重要。
3，这里每个月都会有不同的主题活动，就比如说这个月的就是以春天为主题的画展，很有意思。","2023-04-12 22:12"
"点小评6909589247","设施：0.5","环境：0.5","服务：0.5","","这商场太差了吧，在里面吃个饭，就像蒸桑拿一样，吃完饭衣服都湿透了，这么大的商场空调都不舍得给开吗，垃圾透顶","2023-04-12 18:57"
"匿名用户","设施：5.0","环境：0.5","服务：5.0","","每次在附近都会过去吃一下6层豆号家的冰淇淋","2023-04-12 13:19"
"逆行刺猬君","设施：4.0","环境：4.0","服务：4.0","","位于王府井步行街上的apm，是我比较喜欢的一家商场。就是以前的老东安市场。","2023-04-12 12:26"
"哇哦我就是我啊","设施：5.0","环境：5.0","服务：5.0","北京APM是王府井大街上的一个商场。其实来北京后刚开始王府井大街还是很热闹的，谢谢感觉一般了。但是这个...","北京APM是王府井大街上的一个商场。其实来北京后刚开始王府井大街还是很热闹的，谢谢感觉一般了。但是这个商场还是很出名的，面积倒是不大，周末过来的人很多，大家都不戴口罩了。里面特色就是楼顶这个设计了吧？当然买服装、吃饭也是不错的地方！","2023-04-12 06:08"
"无名之辈","设施：5.0","环境：5.0","服务：5.0","今天陪朋友拉着来apm看画展来了，地铁8号线金鱼胡同站交通便利特别方便，画展不大就在一层的中...","今天陪朋友拉着来apm看画展来了，地铁8号线金鱼胡同站交通便利特别方便，画展不大就在一层的中庭展览，位置就在中间特别的醒目，画展不大但很有意思有7位画家的花在这里展出来，色彩分明的画作摆放在花卉场景里感受到春意盎然，和朋友逛了一圈让后跑到5楼小吃一下，开心，果然还是吃的可以给人带来快乐。","2023-04-11 22:12"
"MING_pz35711","设施：5.0","环境：5.0","服务：5.0","和朋友来apm吃饭了，选的六顺福记茶楼，港澳点心很适合边吃边聊天，整体味道很不错，凤爪很不错，烧麦超级...","和朋友来apm吃饭了，选的六顺福记茶楼，港澳点心很适合边吃边聊天，整体味道很不错，凤爪很不错，烧麦超级好吃，太喜欢这种糯叽叽的啦整体性价比很高。吃饭逛了逛，从电梯转下来还看到了一个美术展，满满春天的气息~","2023-04-11 20:19"
"芝士就是力量","设施：5.0","环境：5.0","服务：5.0","好久没有来apm商城逛了，今天正好约朋友来这里，apm不亏是王府井的人气王，人气依旧是那么的旺。
环境很不...","好久没有来apm商城逛了，今天正好约朋友来这里，apm不亏是王府井的人气王，人气依旧是那么的旺。
环境很不错商城地下有2层底上有6层，特别喜欢上边两层，因为吃饭的地方比较集中在这两层，这个月还有画展的活动，很不错，看到就是一顿卡卡的拍照，很不错依旧特别喜欢这个商场，来王府井一定要来这个商场来。","2023-04-10 23:52"
"人间理想心成","设施：4.0","环境：4.0","服务：4.0","一走出地铁口，就有一边直接通向这个北京apm，这也是王府井区域的一个大的综合性商场。里面也是一楼珠宝💎...","一走出地铁口，就有一边直接通向这个北京apm，这也是王府井区域的一个大的综合性商场。里面也是一楼珠宝💎➕化妆品，二楼三楼衣服，四楼这种是奶茶店还有吃的店。
        王府井这里也是商场扎堆的地方了，大家都会有很多的选择，很热闹，挺好的。而且这里的商场，甚至还有地下三楼的，厉害极了。","2023-04-10 22:14"
"加仑swjl","设施：4.0","环境：4.5","服务：4.5","apm算是王府井既新潮又亲民的商场了～
商场很大，装修后也不错，每层都有各种值得一逛的店铺，阳光从顶棚洒...","apm算是王府井既新潮又亲民的商场了～
商场很大，装修后也不错，每层都有各种值得一逛的店铺，阳光从顶棚洒进来，整个商场光线充足，拍出来光影效果很棒～
相较于王府中环，消费水平又没那么高，老百姓逛着也没啥负担～
除了吃饭的楼层，其他楼层人也不是特别多，尤其是白天，还挺清净的，适合慢慢的逛一逛～","2023-04-10 20:25"
"飞你莫属","设施：5.0","环境：5.0","服务：5.0","apm吃饭的地方比较多，之前约朋友聚会经常来。火炉火，外婆家，捞王锅物料理，鹿港小镇，港丽餐厅。
这两年...","apm吃饭的地方比较多，之前约朋友聚会经常来。火炉火，外婆家，捞王锅物料理，鹿港小镇，港丽餐厅。
这两年疫情来的少了。
但是还是觉得适合逛街，吃饭，购物。非常不错。
从东门出来拍了几张照片，刚好抓拍到一只蝴蝶。","2023-04-10 18:59"
"匿名用户","设施：5.0","环境：4.5","服务：4.5","","位置好，聚会逛街地铁交通很方便","2023-04-10 18:57"
"匿名用户","设施：0.5","环境：4.0","服务：4.0","","商场热的要死吃个饭出一身的汗夏天了不应该开空调吗汗体验极差","2023-04-10 18:57"
"肉蛋","设施：5.0","环境：5.0","服务：5.0","","看着有点菜市场的感觉，实则里面别有洞天","2023-04-10 15:24"
"卡布奇诺","设施：3.5","环境：3.5","服务：3.5","","很大，人不是很多，吃饭餐厅，电影院都有","2023-04-10 00:27"
"好好学习","设施：5.0","环境：5.0","服务：5.0","特别不错的一个商场，就在公司附近，一般同事们一起吃饭，逛街什么的都约在这里，这里的东西很全，吃喝玩乐...","特别不错的一个商场，就在公司附近，一般同事们一起吃饭，逛街什么的都约在这里，这里的东西很全，吃喝玩乐一体的，这次去还看到有一个春天主题的画展，画的画很意思很不错，喝朋友逛了逛就去吃饭去了，不得不说apm的人气是真的旺啊，各种吃饭的地方都在哪里拍排，不过他家吃的种类真的是很全，可以符合大部分人的胃。","2023-04-09 23:37"
"牙牙lm","设施：4.0","环境：4.0","服务：4.0","无意间看见的展 还不错 地点在apm门口进来 苹果店外面 服务台前面 路过停下来看看 会发现小惊喜 这次展览面...","无意间看见的展 还不错 地点在apm门口进来 苹果店外面 服务台前面 路过停下来看看 会发现小惊喜 这次展览面积不大 主要是花跟画 艺术气质满满 感觉小清新 人不多 每个区域转一圈就完了 apm经常有些小展览或者主题活动 这方便确实赞","2023-04-09 17:31"
"Kxinaa","设施：0.5","环境：2.0","服务：4.0","没有休息位？？？

一度的来王府井比较爱的商场～ 

年轻有活力，但是现在活力太过啦，以为大家都太年轻太...","没有休息位？？？

一度的来王府井比较爱的商场～ 

年轻有活力，但是现在活力太过啦，以为大家都太年轻太有精力了，连个休息座位都不给啦～ 

今年几次来还没意识到，这次带阿姨们来逛街，大片区域连个休息位置都没有… 饮品店都是爆满，拿完喝的就得走了也没位置可以休息… 

给个差评希望早点改进！嗷嗷嗷嗷

我们年轻人逛逛时间长点儿直接去吃饭还可以，年纪大点儿真受不了，不至于吧 不安椅子？ 难以理解啊apm这操作… whywhywhy？？_(:з」∠)_","2023-04-08 15:56"
"王梁","设施：5.0","环境：5.0","服务：5.0","欢迎再来北京！北京apm ，位于北京市东城区王府井大街138号，地下有地铁站，地面有公交站。“北京apm”的含...","欢迎再来北京！北京apm ，位于北京市东城区王府井大街138号，地下有地铁站，地面有公交站。“北京apm”的含义，“apm”意为“am(早上)”到“pm(晚上)”，意味着北京将为了吸引年轻消费者消费，增加夜店消费比重而延长apm的使用时间。","2023-04-08 15:34"
"熊嘎嘣脆","设施：4.0","环境：4.0","服务：4.0","看完展后来这里转一转～
可能是中午的原因，大家都在店里就餐，商场里各店铺的人没有很多，显得不像以往那...","看完展后来这里转一转～
可能是中午的原因，大家都在店里就餐，商场里各店铺的人没有很多，显得不像以往那样拥挤。
优衣库上了很多新款，每一样都很喜欢，赶着更衣室排队人不多，挑了自己喜欢的去试穿了一下。
另外，今天天气不错，apm附近的这个教堂，吸引了不少新人们来这里拍婚纱照","2023-04-08 13:33"
"甜橙味彩虹棒棒糖","设施：5.0","环境：5.0","服务：5.0","🍀🍀🍀春意盎然的4月apm开启一场自由且充满想象力的艺术展～～～～穿行在繁花之中，化身时空旅者，去寻...","🍀🍀🍀春意盎然的4月apm开启一场自由且充满想象力的艺术展～～～～穿行在繁花之中，化身时空旅者，去寻觅春日的极致浪漫～～～繁花&奇迹泡泡簇拥下的艺术画作迸发春日灵感，沉浸式浪漫给现场注入灵魂一处，吸引着每一个路人目光驻足，富有想象的笔触和色彩捕获美妙的每时每刻。🍀🍀🍀

🍀展览地点：北京apm 首层中庭
🍀展览时间：3.31—5.3
🍀展览门票：免费

#我的生活春意浓","2023-04-08 07:49"
"仙儿","设施：3.5","环境：3.5","服务：3.5","","不错经常去百老汇看电影，还有按摩座椅
就是饭店吃饭很多都要等位太火爆了","2023-04-08 00:39"
"魑魅","设施：5.0","环境：5.0","服务：5.0","被朋友拉着去王府逛街，到饭点了，就去apm吃个饭，应为这里选择比较多，一进门就看到了艺术展，这里每个月...","被朋友拉着去王府逛街，到饭点了，就去apm吃个饭，应为这里选择比较多，一进门就看到了艺术展，这里每个月都有不同的主题回答，这次是唤醒春日，画作置身在花卉场景，预示这春天生机勃勃，感觉在花海中观看画作，让人们的心情也是好上了不少，在现场还看到好多人在哪里画画，周围还有好多人拍照合影特别的热闹就特别的棒!","2023-04-07 23:31"
"愛喝coffee的万年盒子精","设施：5.0","环境：5.0","服务：5.0","🌸🌿🌼🌿🌺🌿🪻🌿
2023年春日，光源予花和另外6位艺术家，在北京apm首层中庭的多元艺术场域，用作...","🌸🌿🌼🌿🌺🌿🪻🌿
2023年春日，光源予花和另外6位艺术家，在北京apm首层中庭的多元艺术场域，用作品链接艺术灵感，在绚丽繁花簇拥中感受春日烂漫，置身于充满想象空间的艺术装置唤起春日能量…

如梦幻泡影，如露亦如电，泡泡在艺术中经常被用作象征生命的原点的元素，它也是光源予花经常使用的艺术语言。它所具有的一些与生命有关的象征意义，和它变幻莫测的形态色彩，以及脆弱感，总能给我们无穷灵感。

推荐：特别出片的展区","2023-04-07 18:59"
"枫叶","设施：4.5","环境：4.5","服务：4.5","","位置优越，环境优美明亮，购物商城设施完善商品质量有保证，停车方便","2023-04-07 19:16"
"文文_4936","设施：5.0","环境：5.0","服务：5.0","","我们内心就是一个花园，人生的哪一天不是最美的花季呢？如果我们的内心春风洋溢，人生的哪一个时候不是最好的春天呢周五，在apm营造一个人的浪漫🌹","2023-04-07 12:14"
"可爱的小五","设施：5.0","环境：5.0","服务：5.0","今日快乐是apm商场的艺术画展感受到的，北京的春天特别的舒服但也不的短暂，apm商场中庭举办的艺术展让你感...","今日快乐是apm商场的艺术画展感受到的，北京的春天特别的舒服但也不的短暂，apm商场中庭举办的艺术展让你感受到春天的感觉，色彩鲜明，站在那里让你感受到了春天的绚丽万物的复苏，开心的喜悦悠然而生，特别的棒，地址:就在地铁8好线金鱼胡同，特别的方便，推荐大家过来感受一下，真的特别的不错。看完顺便可以逛个街。","2023-04-06 23:14"
"朱朱_3520","设施：4.5","环境：5.0","服务：4.5","今天闺蜜来金宝街开会，散会了我俩约到APM吃个下午茶。偶遇APM换了一个新的艺术展。就摆放在中庭。造型特别...","今天闺蜜来金宝街开会，散会了我俩约到APM吃个下午茶。偶遇APM换了一个新的艺术展。就摆放在中庭。造型特别的好看，好多漂亮的花花。颜色艳丽而不俗气，感觉像是把春天一整个搬进了商场里。太好看了。准备明天穿上漂亮的小裙子去拍照。","2023-04-06 21:08"
"罗婆婆_8825","设施：3.0","环境：3.5","服务：3.5","","吐槽下停车场，不知道是不是我们停的位置太偏，停完后没有任何指引，我们就是凭感觉往一个方向走。","2023-04-06 18:52"
"匿名用户","设施：5.0","环境：5.0","服务：5.0","","每周都会去的商场，购物餐饮都很便捷，后门放了一个巨大的充气娃娃，合影感觉自己很渺小。","2023-04-06 12:34"
"爱喝有机茶","设施：5.0","环境：5.0","服务：5.0","超棒的一个商场，经常约着朋友来这里逛街吃饭什么，这个商场人气特别旺，交通也是特别的便利，直接从地铁口...","超棒的一个商场，经常约着朋友来这里逛街吃饭什么，这个商场人气特别旺，交通也是特别的便利，直接从地铁口就能到商场，今天正好看到有艺术展，还在里面看来了一圈，画的特别不错，风格特别喜欢，所有画颜色都很鲜明，很不错，里边还可以体验自己去画画，赞赞赞，简直不要太有意思了，很不错没有白来还看到画展。","2023-04-05 23:42"
"今天你开心嘛","设施：5.0","环境：4.5","服务：4.5","假期可以说是人满为患，一层有展有很多人在这里拍照。在王府井地区属于中档型商场，偏年轻化。都是年轻化的...","假期可以说是人满为患，一层有展有很多人在这里拍照。在王府井地区属于中档型商场，偏年轻化。都是年轻化的牌子，快消品牌多一些。所以来的基本都是年轻人。五六层都是吃的。有很多好吃的，经常来这里吃饭。整体消费有不贵。
停车场不小，停车还是很好停的，也很好找车。就是商场没有导航设施，找商铺不太找得到，绕来绕去。","2023-04-05 21:42"
"龙飞凤舞","设施：5.0","环境：5.0","服务：5.0","北京apm是知名地标之一。每次去都会发现一些变化，像川绝变脸一样，熟悉中有陌生，如首次出现在京城的商柜...","北京apm是知名地标之一。每次去都会发现一些变化，像川绝变脸一样，熟悉中有陌生，如首次出现在京城的商柜、广告、门店等，陌生中也就熟悉，如已经成名的品牌、餐厅首次入住，实现梦想。如果从文化艺术的角度看，新的门店在装饰设计工艺美术人文地理等都能敢为天下先，让顾客先睹为快，大开眼界。","2023-04-05 20:35"
"妍魔暧","设施：5.0","环境：5.0","服务：5.0","","有钱人逛的泡泡玛特真的是好多人啊，进去看了看价签真的很可爱。还好个人喜好对可爱是有抵抗力的，也不算是受众群体，转转就出来了。","2023-04-05 18:43"
