"name","item","item 2","item 3","review-truncated-words","review-words","time"
"heystillhere","设施：4.0","环境：5.0","服务：4.0","服装店挺多牌子的、走起来挺远的，商场很大，停车可以用积分，现在餐饮选择比之前多了，吃拉面可以去一风堂...","服装店挺多牌子的、走起来挺远的，商场很大，停车可以用积分，现在餐饮选择比之前多了，吃拉面可以去一风堂，还有烤肉店和汤城小厨，多少都能选一选想吃的，饮品的话有牛茶和快乐柠檬我觉得不错，地下就是地铁站，挺方便的","2023-04-17 15:51"
"点小评8459363168","设施：5.0","环境：5.0","服务：5.0","东单来过好多次，都是晚上来看话剧，看完就回去，这次是下午看话剧，出来顺便逛了一下东方新天地，商场很大...","东单来过好多次，都是晚上来看话剧，看完就回去，这次是下午看话剧，出来顺便逛了一下东方新天地，商场很大，购物环境好，服务态度非常好，好久没逛过了，争取今天有收获，享受一下购物购物乐趣哈里面分了4区，得逛一阵，期待……","2023-04-16 16:22"
"匿名用户","设施：5.0","环境：5.0","服务：4.0","好久都没来东方新天地了
早些年时候这里曾经是最爱逛街的地方
好吃的好玩儿的新鲜有趣的都集中在这里。
紧...","好久都没来东方新天地了
早些年时候这里曾经是最爱逛街的地方
好吃的好玩儿的新鲜有趣的都集中在这里。
紧邻着长安街，从东单到王府井
整个一大片都是东方广场。

每到有重要活动，这里就变得比较敏感
随着其他商业的崛起，后来就不太来这里了。
再次踏进东方新天地，
还是曾经的样子，
只是没有了过去的心情！","2023-04-15 19:07"
"小小水森林","设施：5.0","环境：5.0","服务：5.0","","还可以，逛起来太累，狭长，找不到店铺","2023-04-15 00:07"
"娜拉nala最美的狮子","设施：4.5","环境：4.5","服务：4.5","","越来品牌越多，受众群体也广，最重要的更新迭代也很给力的！","2023-04-13 07:55"
"Leeverpool","设施：4.5","环境：4.0","服务：4.0","","店铺不多，吃的也不多，附近逛街不如apm","2023-04-13 02:09"
"丁LUCK","设施：5.0","环境：5.0","服务：5.0","东方新天地这个商场也太大了吧，而且是我见过卖汽车最多的一个商场，各类服装大牌云集这里，还有餐饮、娱乐...","东方新天地这个商场也太大了吧，而且是我见过卖汽车最多的一个商场，各类服装大牌云集这里，还有餐饮、娱乐、休闲等配套设施，假如你逛王府井步行街累了，可以进来休闲小憩一下，地铁1号线、8号线王府井站A口出可以直接进入商场，开车的朋友直接停地下，收费标准为前15分钟5元，15分钟后2.5元/15分钟，假如你是商场会员，会员积分还可以兑换免费停车券哦，18点后进场免费停车。","2023-04-12 20:32"
"不知道叫啥","设施：4.5","环境：3.5","服务：3.5","来这边和朋友吃饭，实在是找不到他这个布局，而且这个指示牌也还非常的模糊，真的是对于路痴来说太难了，跟...","来这边和朋友吃饭，实在是找不到他这个布局，而且这个指示牌也还非常的模糊，真的是对于路痴来说太难了，跟着导航走还导航不对，整个人都要崩溃了
所以说我绕着商场走了两圈，也没有找到从外面绕了半圈，也没有找到，实在是无语死","2023-04-11 21:47"
"青橙_4001","设施：4.0","环境：4.0","服务：4.0","","这次看到这么多车🚗的店铺
就是从东到西每次都走不全
很多咖啡店，累了可以坐下来休息，新开的集结号美食街区，丰俭由己","2023-04-11 20:07"
"逆旅之徒","设施：4.0","环境：4.0","服务：4.0","前两天来东方新天地吃饭，在这儿的B1层有好多吃饭的，还有一个美食城，各种好吃的随便选，但是它下边的餐厅...","前两天来东方新天地吃饭，在这儿的B1层有好多吃饭的，还有一个美食城，各种好吃的随便选，但是它下边的餐厅真的是好绕啊，特别的不好找，找了半天才找到要去吃饭的地方，它这直通地铁特别的方便，楼上卖衣服的各种品牌还挺多的，吃完饭可以逛一逛。","2023-04-09 23:43"
