"name","item","item 2","item 3","review-truncated-words","review-words","time"
"匿名用户","设施：5.0","环境：5.0","服务：5.0","王府中環正在搞甜品节，买了这个最贵的套餐，里面有芝乐坊蛋糕、闪电泡芙、文华饼店的磅蛋糕、山河万朵新出...","王府中環正在搞甜品节，买了这个最贵的套餐，里面有芝乐坊蛋糕、闪电泡芙、文华饼店的磅蛋糕、山河万朵新出的无糖素食、cafelandmark盲盒和座银新出的芭菲杯，六个甜品几乎都是商场的网红独家。

今天是老爹70岁生日，提前定了文华的这只草莓酸奶蛋糕，原价458，然后这个套餐一共825，总体价格还是优惠挺多的（芝乐坊的一块蛋糕也要80+），对于我这个在王府井上班的人来说简直是天大的福利！！

因为还买了另外一饮料包的套餐，一共有是10杯%咖啡、牛茶、椰子水和袍公馆的手打泰柠，所以最贵的套餐里送的野餐篮加上闪电泡芙，一杯西班牙拿铁出去西边草堂装13也是别有一番风味哦","2023-04-16 22:51"
"都掉了还在等什么","设施：5.0","环境：5.0","服务：4.5","王府中環位置优越高端大气上档次的购物中心它是香港置地在北京打造的首个时尚高端生活中心，尊...","王府中環位置优越高端大气上档次的购物中心它是香港置地在北京打造的首个时尚高端生活中心，尊踞首都商业与政治核心地带，其设计与规模均巧妙融合了王府井地区的历史底蕴与精粹。坐拥北京东城区王府井商业街近两万一千平方米的黄金地段，王府中環傲呈四万三平方米的零售空间及配有七十三个房间的文华东方酒店，建筑总面积达十五万平方米。","2023-04-16 12:45"
"匿名用户","设施：5.0","环境：5.0","服务：5.0","王府中环地下最近有展览，在停车场那里，不是很大型很多，但很有趣，免费的有工作人员在里面看管，不让触摸...","王府中环地下最近有展览，在停车场那里，不是很大型很多，但很有趣，免费的有工作人员在里面看管，不让触摸。时不时的有年轻人三五成群特意来拍照片，分几个主题，环绕停车场，最后是壁画，都很有寓意很立体。大家路过可以来看看，看完还能去楼上的草坪晒晒太阳。","2023-04-15 06:59"
"匿名用户","设施：5.0","环境：5.0","服务：5.0","工作日最喜欢来这里啦，环境好人少不嘈杂，餐厅也多。周末不能来，人满为患，平时在这里边喝咖啡边办公，很...","工作日最喜欢来这里啦，环境好人少不嘈杂，餐厅也多。周末不能来，人满为患，平时在这里边喝咖啡边办公，很惬意。每次必点椰子水，旁边的日本拉面也非常好吃，再旁边的韩式烧烤每次来也是必排队等位。里面的餐厅基本都打卡啦，复合大众口味","2023-04-14 11:37"
".","设施：5.0","环境：5.0","服务：5.0","","很好逛的商场，底下车位也很充足，服务好，商家品质都很高","2023-04-13 19:37"
"songqian05","设施：5.0","环境：5.0","服务：5.0","","位置优秀，从来不用担心车没地方停，虽然收费贵点儿，地下停车场设计的很好，停车极其方便。楼内基础设施完善，逛起来很舒服，好评点赞","2023-04-12 16:52"
"ChenYip","设施：4.5","环境：5.0","服务：4.0","","即使不吃饭不购物，随便逛一逛也很惬意","2023-04-10 20:33"
"dpuser_3830452318","设施：5.0","环境：5.0","服务：5.0","","今天打卡王府中环闪电巴黎店，点了一份皇后披萨，一杯拿铁，服务员非常热情，造型可爱 拉花挺好的 咖啡不错 披萨薄皮的还不错 泡芙样子可爱精致 有时间会再次打卡的！","2023-04-10 18:33"
"芒贤超人.","设施：5.0","环境：4.5","服务：4.5","展览：DROPOFF空间
营业时间：10：00-22：00
位置：王府中环商场西座B1层停车场
（西座！不是东！）
门票：...","展览：DROPOFF空间
营业时间：10：00-22：00
位置：王府中环商场西座B1层停车场
（西座！不是东！）
门票：免费 ！免费 ！免费！！
穿黑色的衣服  或者美式复古的更加出片哦
某书说这是📖“北京最出片的停车场”","2023-04-10 00:40"
"牙牙lm","设施：4.0","环境：4.0","服务：4.0","王府井中环 一共两栋楼 楼里面有连接的部分 外面需要过个小马路 位置在王府井百货大楼南侧 路西 中国照相馆...","王府井中环 一共两栋楼 楼里面有连接的部分 外面需要过个小马路 位置在王府井百货大楼南侧 路西 中国照相馆斜对面 东座较大 西座稍小 服务挺好的 路过可以进来逛逛 空间较大 空旷 西座南面广场有樱花 两排 比较漂亮 淡淡花香 人挺多的","2023-04-09 16:17"
