review,review_splitting,senti_score,polarity,senti_score_snownlp,polarity_snownlp
"王府井的这个百货大楼,在寸土寸金的地方,是很有含金量的,是北京百货大楼的金字招牌,一楼有全国劳模张秉贵纪念馆,百货大楼很大,造型经典,年代久远,声名远扬,商场里五花八门,品类齐全什么商品都有,都是以大牌为主,价格有点小贵",王府井 百货大楼 寸土寸金 地方 很 含金量 北京 百货大楼 金字招牌 一楼 全国劳模 张秉贵 纪念馆 百货大楼 很大 造型 经典 年代久远 声名 远扬 商场 里 五花八门 品类 齐全 商品 大牌 价格 有点 小贵,1.0,P,0.9999764558631918,P
"有二十多年没有来过这里了,早已经找不到当初的样子了,没有变化就是王府井百货大楼和楼顶上的大钟还在哪里,刚好点钟声响起,钟声依然洪亮就想敲在心头,似乎又回到了从前,这里已经是更加繁华,每天接待着全国各地的中华儿女游览",二十多年 没有 来过 早 找 不到 当初 样子 没有 变化 王府井 百货大楼 楼顶上 大钟 还 点 钟声 响起 钟声 依然 洪亮 想 敲 心头 回到 从前 更加 繁华 接待 全国 中华儿女 游览,3.2,P,0.8567341630367862,P
"百货大楼地下一层的有点像大时代一样的美食小广场,可以成为在附近工作人员的工作餐优秀之选,里面有点像大商场的那种美食荟萃的地方,有麻辣烫,有淮南牛肉面,有米粉,还有炒菜,小碗,蒸菜,还有肉饼,总之选择很很多,这次吃的是麻辣烫哦,天呐,真的是很辣,如果一般的耐受程度的话,建议选择微辣",百货大楼 地下 一层 有点像 时代 美食 广场 工作人员 工作餐 优秀 之选 有点像 商场 那种 美食 荟萃 地方 麻辣烫 淮南 牛肉面 米粉 炒菜 碗 蒸菜 肉饼 选择 很 吃 麻辣烫 天呐 真的 很 辣 耐受 程度 建议 选择 微辣,-1.5,N,0.9998823312845088,P
"略有些冷清的百货大楼,感觉人气明显不如对面的apm,这里也是地标建筑了,从外面看,整栋大楼金光灿灿,阳光直射下很是耀眼,但进来一看,楼里着实没有多少客人,倒是地下层的和平菓局,人气很高,乌央乌央的挤满了人,百货大楼也焕然一新了,很是新潮,不过可能是没啥吸引人的亮点吧,客人不多,还是百货大楼越来越好,几代人的回忆啊",略 有些 冷清 百货大楼 感觉 人气 不如 对面 apm 地标 建筑 外面 整栋 大楼 金光灿灿 阳光 直射 很 耀眼 一看 楼 里 着实 没有 客人 倒 下层 和平 菓 局 人气 很 高 乌央 乌央 挤满 百货大楼 焕然一新 很 新潮 不过 没 吸引 亮点 客人 不 多 百货大楼 越来越 好 几代人 回忆,5.24,P,0.1663700649208432,N
"打卡王府井百货B层的和平书局,位置就在金鱼胡同地铁站出来不远,吃完晚饭溜达到了王府井百货B层,这里真是满满的回忆,年代的各种装扮,一下穿越回到了年代,就连墙上的标语都是很有意思的,厕所,摩托,还有照相馆,发廊,大佛头,拉洋片,还有坐门口的老太太,还有绿皮火车太逼真了,网红打卡圣地",打卡 王府井百货 B 层 和平 书局 位置 金鱼胡同 地铁站 不远 吃 完 晚饭 溜 王府井百货 B 层 满满的 回忆 年代 装扮 穿越 回到 年代 墙上 标语 很 有意思 厕所 摩托 照相馆 发廊 大佛 头 拉洋片 坐 门口 老太太 绿皮 火车 太 逼真 网红 打卡 圣地,7.0,P,0.9999982339300848,P
"与全国很多城市的百货大楼一样,严酷的市场经济特别网络消费面前,都面临着转型,曾经的辉煌不再,综合体布局和发展也便成为当下商业系统迫在眉睫的大事,和平果局的出现,号称打造了复旧北京城的经典,可谓文旅背景的沉浸式商业,但似乎特点不明显,民俗风情街与东安商场地下有些重复,综合时尚赶不上大悦城,餐饮美食不及合生汇,食品选购被城乡生活汇碾压,文旅网红也没超过跌下神坛的长沙,文和友,的热闹,逛景不消费的多甚至连保定百货大楼食品超市里人头攒动踊跃购买的景象都不如,说白了,地理位置不错,但商业过于集中且车辆不方便出入,成为需要突破制约的硬伤",全国 城市 百货大楼 严酷 市场经济 特别 网络 消费 面前 面临 转型 辉煌 综合体 布局 发展 便 商业系统 迫在眉睫 大事 和平 果局 号称 打造 复旧 北京城 经典 可谓 文旅 背景 沉浸 式 商业 不 民俗风情 街 东安 商场 地下 有些 重复 综合 时尚 赶不上 大悦 城 餐饮 美食 不及 合生汇 食品 选购 城乡 生活 汇 碾压 文旅 网红 没 超过 跌下 神坛 长沙 文和友 热闹 逛景 不 消费 多 保定 百货大楼 食品 超市 里 人头攒动 踊跃 购买 景象 不如 说白了 地理位置 不错 商业 过于 车辆 不 出入 突破 制约 硬伤,2.8,P,0.9999999999999996,P
"北京市百货大楼,新中国第一店,楼顶五星红旗迎风飘扬,阳光明媚,张秉贵老师的半身铜像座落在百货大楼的门前,他和蔼可亲的注视着祖国日新月异的变化,繁荣昌盛,大楼内温暖如春,顾客精心挑选自己喜欢的物品,北京市百货大楼,来王府井旅游必须要打卡的",北京市 百货大楼 新 中国 第一 店 楼顶 五星红旗 迎风 飘扬 阳光明媚 张秉贵 老师 半身 铜像 座落在 百货大楼 门前 和蔼可亲 注视 祖国 日新月异 变化 繁荣昌盛 大楼 温暖如春 顾客 精心 挑选 喜欢 物品 北京市 百货大楼 王府井 旅游 打卡,5.0,P,0.9999979772377978,P
"百货大楼在这里可能更多的是一种地标象征,过来买东西的人远没有来打卡的人多,不过当年张秉贵在这按现在的话讲绝对算是顶流网红一般的劳模售货员,业务非常娴熟,对待顾客服务态度亲和,当年他所在的糖果柜台基本常年被围的水泄不通,在B站上有他当年的纪录片大家可以去看下,老爷子这种心怀感恩服务人民的心永远值得我们去学习,站在他半身像后面可以正好望到对面新中国儿童用品商店门口新设立的雷锋像,两位都是楷模一老一少,不知这样的安排是否是有意为之,另外百货大楼里还有张秉贵的博物馆和专属柜台,这次忘了去打卡,下次一定要来补上",百货大楼 更 多 一种 地标 象征 买 东西 人远 没有 打卡 多 不过 当年 张秉贵 讲 绝对 算是 顶 流网 红 劳模 售货员 业务 非常 娴熟 顾客 服务态度 亲 当年 糖果 柜台 常年 被围 水泄不通 B 站上 当年 纪录片 老爷子 心怀 感恩 服务 人民 心 永远 值得 学习 站 半身像 正好 对面 新 中国 儿童 用品商店 门口 新 设立 雷锋 两位 楷模 一老一少 不知 这样 安排 是否是 有意 百货大楼 里 张秉贵 博物馆 专属 柜台 忘 打卡 下次 要来 补上,13.4,P,0.9999999999765796,P
"王府井百货大楼是我童年记忆中最,神圣,的地方,随着时间的慢慢流逝,已经有很多年没有再来到这里了,今天恰巧有事路过这里就顺便进来逛一逛,随着时代的变化,各个楼层的商品也都做到了与时俱进,然鹅我却在地下找到了童年的记忆一条不长的复古老街,一切都是那么的熟悉,远离了现代生活的喧嚣,一切都那么的平静,虽然贫困但也包涵着美好,淳朴的民风满满的烟火气,浓浓的人情味,我想,这条留存在很多人记忆中的,影像,一定会让我们在想寻找记忆的时候重新再来到这里走一走,坐一坐的",王府井 百货大楼 童年 记忆 中 最 神圣 地方 时间 慢慢 流逝 很多年 没有 来到 有事 路过 顺便 逛一逛 时代 变化 楼层 商品 与时俱进 然鹅 地下 找到 童年 记忆 一条 不长 复古 老街 一切都是 那么 熟悉 远离 生活 喧嚣 那么 平静 贫困 包涵 美好 淳朴 民风 满满的 烟火 气 浓浓的 人情味 想 条 留存 记忆 中 影像 想 寻找 记忆 来到 走 走 坐 坐,2.6,P,0.9999999999999748,P
"年前从西北到祖国首都,在天安门彻底感受了什么是摩肩接踵,特想去商场一逛,便来到了北京市百货大楼,里面装修大气,服务周到,体会到了北京人民的热情,便买了一个充电宝,这里地处北京市东城区王府井大街号,是中华人民共和国成立后北京建造的第一座大型百货零售商店,被誉为,新中国第一店,位于王府井大街,以经营日用百货为主,年底经营品种达万种,年月开业,名为北京市百货公司王府井百货商店,年月改为现名,百货大楼售货员张秉贵是全国著名劳动模范,大楼前广场立有其半身铜像,陈云在基石上题词,一团火精神光跃神州,这就是历史,这就是一次很难忘却的购物",年前 西北 祖国 首都 天安门 感受 摩肩接踵 特想 商场 一逛 便 来到 北京市 百货大楼 装修 大气 服务周到 体会 北京 人民 热情 便 买 充电 宝 地处 北京市 东城区 王府井大街 号 中华人民共和国 成立 北京 建造 第一座 大型 百货 零售 商店 被誉为 新 中国 第一 店 位于 王府井大街 经营 日用百货 年底 经营品种 达 万种 年 月 开业 名为 北京市 百货公司 王府井 百货商店 年 月 改为 现名 百货大楼 售货员 张秉贵 全国 著名 劳动模范 大楼 前 广场 立有 半身 铜像 陈云 基石 题词 一团 火 精神 光跃 神州 历史 很 难忘 购物,7.5,P,0.9999999880798284,P
