review_text,sentiment_score,polarity,snownlp,polarity_snow_nlp
"服装店 挺 多 牌子 走 挺远 商场 很大 停车 积分 餐饮 选择 多 吃 拉面 一风堂 烤肉店 汤城小厨 选一选 想 吃 饮品 牛茶 快乐柠檬 不错 地下 地铁站 挺
",2.0,P,0.999993711753213,P
"东单 过 好 晚上 话剧 完 回去 下午 话剧 顺便 逛 东方新天地 商场 很大 购物 环境 好 服务态度 非常 好 好久没 逛过 收获 享受 购物 购物 乐趣 分 区 逛 一阵 期待
",15.6,P,0.9999999941680189,P
"好久 没来 东方新天地 早些 年 最 爱 逛街 地方 好吃 好玩儿 新鲜 有趣 紧邻着 长安街 东单 王府井 大片 东方广场 每到 活动 变得 敏感 商业 崛起 不太来 踏进 东方新天地 样子 没有 心情
",8.0,P,0.9997902726616839,P
"越 品牌 越 多 受众 群体 广 最 更新 迭代 很 力
",0.0,I,0.9630180445400386,P
"店铺 不 多 吃 不 多 逛街 不如 apm
",0.0,I,0.41211784985308875,I
"东方新天地 商场 太大 见 过 卖 汽车 最多 商场 各类 服装 大牌 云集 餐饮 娱乐 休闲 配套 设施 逛 王府井 步行街 累 休闲 小憩 地铁 号线 号线 王府井 站 A 口出 商场 开车 朋友 停 地下 收费 标准 前 分钟 元 分钟 元 分钟 商场 会员 会员 积分 还 兑换 免费 停车 券 点后 进场 免费 停车
",2.8,P,0.892244105618081,P
"朋友 吃饭 实在 找 不到 布局 指示牌 还 非常 模糊 真的 路痴 太难 跟着 导航 走 还 导航 不 崩溃 说 绕 商场 走 两圈 没有 找到 外面 绕 半圈 没有 找到 实在 无语 死
",1.2,P,0.0004061526094423229,N
"多车 店铺 是从 东到 西 每次 走 不全 咖啡店 累 坐下 休息 新开 集结 号 美食街 区 丰俭 由己
",1.0,P,0.9097067883488221,P
"前两天 东方新天地 吃饭 B 层有 好多 吃饭 美食城 好吃 随便 选 下边 餐厅 真的 好 绕 特别 不好 找 找 半天 找到 吃饭 地方 直通 地铁 特别 楼上 卖 衣服 品牌 还 挺 多 吃完饭 逛一逛
",4.0,P,0.29877579640895446,N
"占据 长安街 东单 银街 绝佳 地势 成就 高端 大气 上档次 东方新天地 广场 从家 步行 十分钟 到达 省去 停车 一系列 麻烦 哈哈哈 七十年代 东单 菜市场 小小的 大人 领着 往西 走 儿童 电影院 几个 服装店 多 久远 记忆 时光 飞逝 很多年 物是人非
",1.0,P,0.9999999999374853,P
"老牌 购物 商场 非常 品牌 食 通天 美食街 涵盖 世界 各种类型 美食 服装 品类 快消 品牌 轻奢 品牌 大牌 一应俱全 家楼 外面 桃花 开 特别 好 逛街 之余 还 赏 赏花 拍拍 非常 不错
",9.6,P,0.9999999794317322,P
"头 逛 没 营业 东方新天地 早上 九点 多 商铺 没 开门 商场 餐饮 卖 早餐 大门 随便 出入 不过 没 正事 营业 黑 没 开灯 很 空旷 很 安静 东门 走 西门 距离 不 近东 西 挺快 地下 餐饮 零星 开着 几家 卖 早餐 确实 不错
",5.25,P,0.05117046010529125,N
"王府井 东方新天地 发现 商场 真的 特别 下层 北京 古人类 博物馆 博物馆 很感兴趣 参观 博物馆 展出 古代 人类 化石 实物 文物 人类 进化 历程 生活习惯 更 珍贵 展品 倒 规模 很小 几分钟 完
",1.2,P,0.9999999999999973,P
"距离 天安门 商圈 想象 天龙 人才 龙盘虎踞
",0.0,I,0.9665093649438484,P
